Name,Developability Index (Fv)
1mcp_clean,40.826189
1mex_clean,34.867036
1mfa_clean,54.102538
1mfe_clean,42.137776
1mh5_clean,44.276549
1mhp_clean,29.948249
1mie_clean,39.729306
1mim_clean,32.498705
1mnu_clean,47.796053
1mpa_clean,42.352461
1mqk_clean,41.980494
1mrd_clean,44.52028
1mre_clean,38.433061
1mrf_clean,40.491011
1n0x_clean,24.72423
1n64_clean,38.458137
1n7m_clean,35.990803
1nak_clean,34.817727
1nbv_clean,55.333954
1nca_clean,41.968668
1ncb_clean,41.515231
1ncc_clean,40.626487
1ncd_clean,41.835932
1ncw_clean,49.030162
1nd0_clean,37.171042
1nfd_clean,38.865415
1ngp_clean,41.300879
1ngw_clean,30.77233
1ngx_clean,29.671927
1nj9_clean,51.437378
1nsn_clean,38.585685
1om3_clean,62.934712
1op3_clean,60.191759
1opg_clean,38.938459
1p4b_clean,58.548441
1p4i_clean,47.76649
1p7k_clean,41.853839
1pg7_clean,43.52982
1plg_clean,36.532317
1q0x_clean,54.121321
1q0y_clean,50.952285
1q1j_clean,65.660544
1qbl_clean,31.701773
1qbm_clean,31.474788
1qfu_clean,40.317046
1qkz_clean,54.631662
1qyg_clean,45.889807
1r0a_clean,34.312111
1r3i_clean,40.672535
1rih_clean,43.395978
1riu_clean,45.80146
1riv_clean,45.302177
1rmf_clean,58.146734
1ru9_clean,48.184649
1rua_clean,48.618279
1ruk_clean,49.289482
1rul_clean,48.868291
1rum_clean,48.131815
1rup_clean,48.817209
1ruq_clean,61.55826
1rur_clean,58.779178
1rz7_clean,37.105934
1rzf_clean,41.585927
1rzi_clean,60.076344
1rzj_clean,43.043476
1rzk_clean,41.440742
1seq_clean,50.42074
1sm3_clean,44.133207
1sy6_clean,30.176984
1t66_clean,46.540193
1tjg_clean,54.805635
1tjh_clean,52.752202
1tji_clean,51.639584
1uac_clean,45.134037
1ub5_clean,60.54699
1ub6_clean,58.300542
1ucb_clean,54.679182
1um4_clean,32.571657
1uwe_clean,63.347642
1uwg_clean,60.472477
1uwx_clean,51.282131
1uz8_clean,54.836585
1v7m_clean,40.967627
1vge_clean,20.036812
1vpo_clean,59.279177
1w72_clean,46.636452
1wej_clean,32.835624
1wz1_clean,58.332739
1xiw_clean,44.478407
1y18_clean,53.530195
1yeg_clean,61.481645
1yjd_clean,43.123489
1ynk_clean,53.334411
1ynl_clean,50.425865
1yyl_clean,46.816318
1yym_clean,47.067152
1za6_clean,25.474149
1zan_clean,33.274457
1ztx_clean,33.897815
2a6d_clean,36.264952
2a6j_clean,33.933597
2a77_clean,51.976722
2a9m_clean,52.65686
2aab_clean,48.362274
2arj_clean,45.95763
2b0s_clean,40.776595
2b1a_clean,41.045464
2b1h_clean,40.251222
2b2x_clean,36.421531
2bjm_clean,50.841907
2bmk_clean,33.587594
2c1o_clean,60.101558
2c1p_clean,57.875416
2cgr_clean,39.876289
2ck0_clean,25.614578
2d03_clean,56.068246
2d7t_clean,43.604693
2dlf_clean,57.002662
2dtm_clean,46.697729
2e27_clean,35.115675
2eh7_clean,38.836088
2eh8_clean,42.0104
2fat_clean,42.286383
2fb4_clean,48.493686
2fbj_clean,65.696326
2fr4_clean,47.626277
2fx7_clean,42.942486
2fx8_clean,42.963959
2fx9_clean,48.537722
2g2r_clean,54.599302
2g60_clean,63.292961
2gjz_clean,50.825838
2gk0_clean,45.173069
2h1p_clean,49.482055
2h9g_clean,41.908746
2hh0_clean,44.664401
2hrp_clean,44.391323
2i5y_clean,46.406486
2iff_clean,43.539168
2igf_clean,50.156824
2ipt_clean,52.667382
2ipu_clean,49.746363
2iq9_clean,50.896374
2iqa_clean,49.339778
2j88_clean,40.257773
2jb5_clean,47.224897
2jb6_clean,48.316396
2jel_clean,47.027978
2ojz_clean,58.348933
2ok0_clean,60.845304
2op4_clean,52.650769
2oqj_clean,52.524051
2otu_clean,41.203348
2oz4_clean,34.340137
2pr4_clean,41.282144
2q8a_clean,49.85602
2q8b_clean,55.714677
2qqk_clean,33.993791
2qqn_clean,50.550154
2qsc_clean,36.046261
2r0l_clean,38.039387
2r0w_clean,49.592784
2r0z_clean,48.847164
2r56_clean,17.958948
2uzi_clean,55.677471
2v17_clean,40.841807
2v7h_clean,35.3289
2v7n_clean,41.286214
2vdk_clean,44.250445
2vdl_clean,45.015585
2vdm_clean,44.8808
2vdn_clean,45.583129
2vdo_clean,45.306716
2vdp_clean,45.175491
2vdq_clean,44.717797
2vdr_clean,44.885495
2vh5_clean,59.572843
2wub_clean,49.488348
2wuc_clean,45.806932
2xa8_clean,31.682756
2xqb_clean,53.465459
2xqy_clean,42.208869
2xra_clean,35.3058
2ybr_clean,31.648282
2ymx_clean,34.097974
2ypv_clean,38.866219
2zkh_clean,41.648355
2zpk_clean,49.730307
35c8_clean,42.91862
3a67_clean,42.579408
3b2u_clean,53.352186
3b9k_clean,42.672622
3bae_clean,44.5107
3bkc_clean,48.637006
3bkj_clean,47.59386
3bkm_clean,43.394803
3bky_clean,41.673385
3bz4_clean,27.838235
3c08_clean,28.401449
3c2a_clean,63.885369
3cfb_clean,56.267094
3cfc_clean,54.893085
3cfd_clean,25.546479
3cfe_clean,28.271609
3cfj_clean,58.327773
3cfk_clean,53.992186
3cvh_clean,54.16329
3cvi_clean,47.874706
3cxd_clean,44.040566
3d9a_clean,32.202535
3dsf_clean,41.422199
3e8u_clean,41.523214
3efd_clean,46.492888
3eo9_clean,36.779832
3eoa_clean,24.775843
3eot_clean,40.948059
3eys_clean,48.658961
3eyu_clean,48.529861
3eyv_clean,35.658981
3f58_clean,43.187198
3fn0_clean,63.087512
3fo0_clean,49.706339
3fo1_clean,50.620788
3fo2_clean,51.20009
3fo9_clean,51.483207
3fzu_clean,31.639675
3gbm_clean,60.876696
3gbn_clean,61.307756
3gnm_clean,57.161801
3go1_clean,46.145157
3grw_clean,57.201246
3h3p_clean,56.441472
3h42_clean,53.391602
3hi1_clean,38.609243
3hi5_clean,47.809423
3hi6_clean,40.772307
3hns_clean,34.410575
3hnt_clean,32.879174
3hnv_clean,34.498585
3hr5_clean,41.045245
3i2c_clean,58.1704
3idx_clean,30.349723
3ifl_clean,42.216266
3ifn_clean,45.295346
3ifo_clean,45.4961
3ifp_clean,46.811007
3iu3_clean,33.746589
3iu4_clean,26.492072
3ixt_clean,29.728805
3k2u_clean,49.462999
3kdm_clean,41.439069
3kr3_clean,25.790778
3ks0_clean,40.336136
3kym_clean,86.616541
3l1o_clean,40.154841
3l5w_clean,32.212278
3l5x_clean,44.613643
3l5y_clean,43.917311
3l7e_clean,33.755736
3l7f_clean,44.140693
3l95_clean,27.933679
3lev_clean,52.715664
3lex_clean,47.422086
3ley_clean,61.0129
3lrs_clean,39.615465
3ls4_clean,45.582058
3ls5_clean,44.469038
3m8o_clean,34.780388
3mj8_clean,44.57401
3moa_clean,57.820686
3mob_clean,58.037567
3mod_clean,59.658467
3mug_clean,100.796047
3n9g_clean,38.263352
3nh7_clean,52.612999
3nid_clean,45.789683
3nif_clean,45.123675
3nig_clean,45.585283
3o0r_clean,51.573937
3o2d_clean,32.152674
3o2v_clean,46.222388
3o2w_clean,48.263809
3o41_clean,42.313546
3o6l_clean,47.212568
3o6m_clean,49.917912
3oau_clean,46.861146
3oay_clean,58.247204
3oaz_clean,57.659323
3oz9_clean,58.705476
3p0y_clean,36.942858
3pgf_clean,47.569457
3pnw_clean,40.639294
3pp3_clean,60.884266
3pp4_clean,61.826553
3q1s_clean,65.414674
3q3g_clean,24.09106
3qcu_clean,65.112934
3qcv_clean,63.703229
3qeg_clean,40.163966
3qeh_clean,35.674184
3qg6_clean,46.915154
3qg7_clean,40.818938
3qhf_clean,44.870733
3qhz_clean,56.641034
3qot_clean,40.999438
3qrg_clean,42.83305
3qwo_clean,31.079602
3ra7_clean,47.345827
3rpi_clean,36.808644
3s34_clean,47.354263
3s35_clean,49.099627
3s37_clean,46.542202
3sdy_clean,38.268685
3sgd_clean,43.173516
3sge_clean,46.204264
3skj_clean,45.26264
3t3p_clean,46.107769
3tnm_clean,36.014468
3tnn_clean,25.761139
3u46_clean,38.637582
3u4b_clean,38.8256
3u4e_clean,39.161297
3uc0_clean,43.087588
3uls_clean,49.198828
3uyr_clean,50.5235
3v52_clean,51.733947
3v6f_clean,34.068695
3vi3_clean,52.349589
3vi4_clean,54.631991
3wfb_clean,50.444604
3wfc_clean,51.734409
3wfd_clean,52.506089
3wfe_clean,52.793589
3wih_clean,33.195511
3wii_clean,32.616432
3wkm_clean,52.267003
3x3f_clean,39.572803
3x3g_clean,37.282348
3zl4_clean,45.477604
43c9_clean,45.250422
43ca_clean,47.645498
4a6y_clean,51.652913
4aeh_clean,33.281656
4aei_clean,53.264115
4al8_clean,34.489491
4at6_clean,54.738977
4bz1_clean,27.583557
4bz2_clean,38.05052
4cad_clean,40.710893
4d9q_clean,40.402089
4dgi_clean,41.753562
4dgv_clean,54.347778
4dkf_clean,30.530558
4dn3_clean,46.156786
4dqo_clean,46.431805
4dtg_clean,48.833997
4dvb_clean,39.932178
4dvr_clean,37.821938
4dw2_clean,40.353652
4edw_clean,36.058026
4edx_clean,33.658334
4eow_clean,48.798025
4etq_clean,46.659017
4evn_clean,101.587606
4f15_clean,68.958179
4f33_clean,25.355653
4f37_clean,38.997959
4f57_clean,50.05619
4f58_clean,47.603676
4fab_clean,57.100101
4ffv_clean,31.076479
4ffw_clean,34.746275
4ffy_clean,56.69948
4fqj_clean,51.626707
4fz8_clean,67.831267
4fze_clean,55.549392
4g3y_clean,46.934976
4g5z_clean,39.390287
4g6a_clean,38.80563
4g6f_clean,66.99529
4g6j_clean,29.482441
4g6k_clean,23.059392
4g6m_clean,21.263134
4g7v_clean,47.674856
4g7y_clean,43.2363
4gag_clean,41.537241
4gaj_clean,45.081072
4gay_clean,44.114532
4gms_clean,39.590472
4gmt_clean,39.930457
4gq9_clean,42.077897
4gsd_clean,47.969869
4gxv_clean,53.501029
4h20_clean,47.06713
4h88_clean,42.407934
4h8w_clean,27.70261
4hdi_clean,47.295602
4hfw_clean,34.125165
4hix_clean,42.309511
4hjj_clean,83.466552
4hpo_clean,44.622735
4hpy_clean,56.682972
4hqq_clean,42.286399
4hs8_clean,35.939569
4ht1_clean,57.411355
4hwb_clean,38.721591
4hwe_clean,38.747768
4hzl_clean,61.553401
4i77_clean,46.909842
4irz_clean,30.32171
4jdv_clean,40.113172
4jfx_clean,47.136071
4jfz_clean,48.473183
4jg0_clean,48.84768
4jha_clean,46.612485
4jkp_clean,46.070328
4jpi_clean,37.593526
4jpk_clean,29.972821
4jpw_clean,36.773312
4jqi_clean,55.97777
4jzj_clean,45.563106
4jzo_clean,31.588831
4k3d_clean,36.059555
4k3e_clean,30.267247
4k3j_clean,30.768141
4k7p_clean,47.376303
4k94_clean,38.641589
4k9e_clean,46.369962
4kht_clean,57.446292
4khx_clean,71.155198
4kmt_clean,35.741017
4kph_clean,43.309962
4kq3_clean,25.134111
4kq4_clean,17.362289
4ky1_clean,45.27973
4laq_clean,48.724197
4lar_clean,45.480279
4las_clean,44.962311
4lci_clean,46.487279
4lex_clean,42.453972
4liq_clean,29.377242
4lmq_clean,30.999425
4lrn_clean,70.930637
4lsp_clean,45.911283
4lsq_clean,40.00248
4lsr_clean,44.312135
4lss_clean,56.727124
4lst_clean,57.714682
4lsu_clean,38.660359
4lu5_clean,52.776792
4lvh_clean,82.400192
4m1d_clean,65.820295
4m1g_clean,32.146244
4m43_clean,52.429576
4m48_clean,32.93816
4m5y_clean,54.978486
4m62_clean,55.147672
4m6m_clean,47.314546
4m6n_clean,48.528809
4m6o_clean,34.387718
4m7j_clean,59.264923
4m7k_clean,41.652808
4m7z_clean,57.628598
4ma3_clean,31.001151
4ma8_clean,42.270907
4n0y_clean,59.527711
4ngh_clean,45.500871
4nhc_clean,42.494474
4nja_clean,38.153083
4nki_clean,40.812047
4nm4_clean,35.173554
4nrx_clean,42.649044
4nrz_clean,38.401539
4nug_clean,58.708414
4nwt_clean,47.374625
4nwu_clean,49.138277
4nzr_clean,61.010915
4nzt_clean,52.199745
4nzu_clean,43.635008
4o4y_clean,31.872172
4o51_clean,31.812794
4o58_clean,46.363833
4o5l_clean,40.640862
4o9h_clean,36.147479
4od1_clean,51.108432
4od3_clean,44.540165
4odh_clean,43.377968
4ods_clean,40.55466
4odu_clean,41.117167
4odv_clean,41.844924
4odw_clean,49.672937
4ogx_clean,63.674722
4ojf_clean,43.511067
4olu_clean,49.879922
4olv_clean,52.826205
4olw_clean,50.424513
4olx_clean,55.04382
4oly_clean,49.869831
4olz_clean,52.111694
4om0_clean,53.710662
4om1_clean,54.977536
4p3c_clean,56.036263
4p3d_clean,57.527944
4pb0_clean,47.402938
4pb9_clean,46.084494
4plj_clean,36.342775
4ps4_clean,43.203436
4pub_clean,49.854288
4q0x_clean,49.610562
4q2z_clean,55.809602
4qci_clean,69.698742
4qt5_clean,36.850049
4qth_clean,28.234181
4r26_clean,61.247946
4r8w_clean,49.788785
4r90_clean,38.413392
4rdq_clean,61.422925
4rfe_clean,57.435124
4rgm_clean,45.013712
4rgn_clean,49.683264
4rgo_clean,45.383117
4rir_clean,41.423399
4ris_clean,42.102422
4rrp_clean,70.364742
4rwy_clean,44.490194
4rzc_clean,58.895109
4s1d_clean,45.148319
4s1q_clean,57.466237
4toy_clean,67.99387
4tqe_clean,62.420703
4trp_clean,48.174319
4tsa_clean,45.900314
4tsb_clean,36.684088
4tsc_clean,39.627936
4ttd_clean,47.261822
4tuk_clean,54.341268
4tul_clean,49.829999
4u6v_clean,32.164082
4uik_clean,44.310571
4uil_clean,52.003321
4uim_clean,38.903947
4uin_clean,46.050588
4ut7_clean,52.059542
4uu9_clean,55.880653
4wcy_clean,43.276284
4web_clean,25.912226
4wuk_clean,49.45065
4wy7_clean,45.070274
4x0k_clean,33.772208
4x80_clean,35.437845
4xak_clean,26.382109
4xaw_clean,33.750992
4xbe_clean,36.042636
4xbg_clean,44.527494
4xbp_clean,50.27537
4xc1_clean,34.533804
4xc3_clean,36.202991
4xce_clean,51.084803
4xcf_clean,31.989412
4xcn_clean,45.102151
4xgz_clean,32.767155
4xnu_clean,34.852233
4xp1_clean,33.339562
4xp4_clean,35.99732
4xp9_clean,37.585962
4xpa_clean,35.156418
4xph_clean,36.393872
4xvj_clean,71.375733
4xvs_clean,38.828293
4xvt_clean,35.03532
4xvu_clean,43.883336
4xwg_clean,53.666385
4xwo_clean,36.696818
4y5v_clean,41.68465
4yaq_clean,42.261939
4ydj_clean,47.300066
4ydk_clean,44.011216
4ydl_clean,34.279953
4ydv_clean,49.389579
4yhl_clean,33.77948
4yho_clean,40.639453
4yjz_clean,59.126493
4ywg_clean,57.939816
4z95_clean,41.623373
4zd3_clean,32.904058
4zff_clean,62.867252
4zfg_clean,55.490997
4zfo_clean,50.433754
4zpt_clean,32.164849
4zs7_clean,51.291098
4zto_clean,53.010657
4ztp_clean,54.010374
5a16_clean,39.470178
5a2i_clean,49.803669
5a2j_clean,53.639638
5a2k_clean,53.753802
5a2l_clean,53.801122
5ado_clean,37.444934
5adp_clean,43.712615
5alc_clean,56.732367
5anm_clean,63.735021
5aum_clean,51.187181
5ayu_clean,39.102746
5az2_clean,30.019732
5aze_clean,40.049086
5b3j_clean,28.294395
5b4m_clean,47.976719
5b8c_clean,36.488038
5bk1_clean,68.642784
5bk2_clean,51.453259
5bk3_clean,33.400592
5bo1_clean,35.831068
5c6w_clean,60.510225
5c7x_clean,59.764045
5cck_clean,35.865039
5cd3_clean,39.809267
5cgy_clean,49.390832
5cp3_clean,25.943165
5csz_clean,33.649968
5d6c_clean,31.113703
5d70_clean,59.607634
5d71_clean,61.922502
5d72_clean,61.060611
5d7s_clean,66.236283
5dd0_clean,62.880833
5dd1_clean,63.449516
5dd3_clean,59.882343
5dd5_clean,50.011809
5dd6_clean,49.830818
5dlm_clean,47.50806
5dmg_clean,49.043945
5do2_clean,27.42159
5dq9_clean,43.063523
5dqd_clean,35.712127
5dqj_clean,36.856114
5dr5_clean,41.780768
5drn_clean,39.333208
5drx_clean,57.783034
5drz_clean,42.0317
5dsc_clean,41.494135
5dt1_clean,62.111728
5dtf_clean,32.431473
5dub_clean,27.356808
5dur_clean,43.950979
5e08_clean,36.213118
5e8d_clean,34.812379
5e99_clean,25.552845
5ea0_clean,33.86442
5eoc_clean,35.912834
5eoq_clean,37.779402
5eor_clean,46.267103
5f6h_clean,32.319265
5f7e_clean,33.763259
5f89_clean,33.380862
5f96_clean,45.480232
5f9o_clean,39.522617
5f9w_clean,40.900859
5fcs_clean,85.358817
5fcu_clean,58.382596
5fxc_clean,58.033721
5ggq_clean,31.967962
5ggt_clean,35.918927
5ggu_clean,41.285548
5ggv_clean,39.709606
5ghw_clean,69.06912
5gir_clean,31.392963
5gis_clean,33.711326
5gjs_clean,41.95167
5grx_clean,89.877339
5gzo_clean,21.186389
5h35_clean,57.033963
5hdq_clean,30.049415
5hhv_clean,40.626709
5hi3_clean,35.824837
5hi4_clean,36.169612
5hi5_clean,36.258229
5hys_clean,31.39129
5i15_clean,37.968058
5i16_clean,45.37866
5i18_clean,41.725764
5i1a_clean,36.780665
5i1c_clean,42.627957
5i1d_clean,42.622289
5i1e_clean,30.879153
5i1g_clean,40.930431
5i1h_clean,33.912317
5i1j_clean,38.594797
5i1k_clean,33.734417
5i1l_clean,34.556622
5i30_clean,40.005879
5ies_clean,39.777915
5ifh_clean,43.966187
5ig7_clean,35.848534
5ihu_clean,25.552845
5ihz_clean,38.070672
5iie_clean,47.47888
5ijv_clean,32.906154
5ikc_clean,31.190379
5ilt_clean,27.172632
5it2_clean,36.750931
5itb_clean,46.496029
5jo5_clean,43.044742
5jq6_clean,49.864466
5jr1_clean,47.759781
5jrp_clean,44.906618
5k59_clean,24.148451
5k8a_clean,29.791984
5k9j_clean,40.869493
5k9k_clean,43.181697
5kg9_clean,48.259103
5kjr_clean,39.693634
5kvd_clean,40.965549
5kve_clean,42.150678
5kvf_clean,29.450797
5kvg_clean,30.214835
5kw9_clean,39.582189
5l6y_clean,57.271756
5l7x_clean,30.443813
5l88_clean,31.739271
5l9d_clean,32.5224
5lbs_clean,60.11694
5lcv_clean,40.752711
5lqb_clean,45.143937
5lsp_clean,44.928076
5m63_clean,42.78881
5mes_clean,39.082932
5mev_clean,37.33694
5mhe_clean,50.097696
5mhg_clean,51.124143
5mp3_clean,33.191324
5mp5_clean,36.876903
5mp6_clean,36.112818
5mth_clean,32.664397
5mu0_clean,88.066289
5mu2_clean,87.989132
5muq_clean,43.776679
5mv3_clean,29.385649
5mv4_clean,27.883896
5mvj_clean,34.986256
5mvz_clean,35.850644
5mx3_clean,34.726452
5n4g_clean,43.281623
5n4j_clean,31.027985
5n7b_clean,51.105309
5n7w_clean,47.99741
5nbi_clean,38.803356
5nbw_clean,40.910028
5nh3_clean,50.714859
5nhw_clean,40.57289
5nmv_clean,37.160878
5nph_clean,39.828881
5nyx_clean,30.319952
5o14_clean,34.122848
5o1r_clean,29.28886
5ob5_clean,30.658929
5obf_clean,55.813262
5ock_clean,38.779104
5od0_clean,51.593376
5otj_clean,50.064559
5owp_clean,53.809092
5sy8_clean,72.085472
5t4z_clean,54.003081
5t6l_clean,74.029793
5t80_clean,70.084042
5t85_clean,71.733988
5te4_clean,37.135219
5te6_clean,35.029474
5tf1_clean,46.530516
5tfs_clean,40.668702
5tfw_clean,72.404714
5tgb_clean,44.175824
5tih_clean,27.518094
5tpl_clean,45.720683
5tpp_clean,55.495897
5tpw_clean,36.481052
5tq0_clean,36.300561
5tqa_clean,40.214308
5tr8_clean,37.714614
5trp_clean,43.847745
5u15_clean,51.011485
5uby_clean,34.198869
5ubz_clean,37.298841
5ucb_clean,51.057555
5ud9_clean,52.365937
5uea_clean,43.341729
5uem_clean,47.067649
5ugy_clean,50.149017
5uix_clean,39.27978
5ukn_clean,41.145671
5uko_clean,49.565074
5ukp_clean,48.905413
5ukq_clean,50.775929
5ukr_clean,47.915912
5ush_clean,48.749021
5usi_clean,44.867143
5usl_clean,46.432909
5utz_clean,34.281017
5uy3_clean,34.454492
5v6l_clean,39.052486
5v6m_clean,48.677799
5v7j_clean,74.702021
5v7r_clean,31.406741
5v7u_clean,27.914949
5veb_clean,22.154781
5vh3_clean,51.919711
5vh4_clean,48.293262
5vjq_clean,25.530294
5vkd_clean,41.804069
5vkk_clean,27.924306
5vlp_clean,38.63998
5vr9_clean,29.778193
5vsh_clean,50.785957
5vsi_clean,24.836586
5vxr_clean,41.733471
5vyf_clean,36.269751
5w05_clean,46.499309
5w06_clean,56.197741
5w08_clean,72.913051
5w1g_clean,50.128706
5w24_clean,39.854784
5w2b_clean,40.758087
5w3p_clean,31.452956
5w5x_clean,36.849164
5w5z_clean,36.380655
5w6c_clean,44.609791
5w6g_clean,44.188248
5wca_clean,35.846268
5wcc_clean,49.726292
5wcd_clean,48.924213
5whj_clean,49.15599
5whk_clean,48.953008
5wi9_clean,44.109222
5wk2_clean,50.923931
5wkz_clean,41.979581
5wl2_clean,54.870575
5wuv_clean,49.203766
5wux_clean,48.984423
5x08_clean,34.826975
5xmh_clean,48.388565
5xwd_clean,47.818406
5xxy_clean,42.69495
5y2k_clean,37.443256
5y9j_clean,50.5768
5y9k_clean,44.755351
5yfi_clean,38.868901
5yup_clean,43.618485
5yy5_clean,62.231964
5zia_clean,74.341449
6a67_clean,38.24712
6a76_clean,47.12336
6a77_clean,40.377812
6a78_clean,52.152299
6a79_clean,50.770908
6a9k_clean,57.398309
6ana_clean,28.983576
6and_clean,30.591305
6ani_clean,41.461558
6apc_clean,52.554964
6aq7_clean,36.053459
6b0a_clean,45.711206
6b0s_clean,46.253432
6b0w_clean,49.065911
6b14_clean,36.01921
6b3d_clean,48.929915
6b3k_clean,35.761166
6b3s_clean,52.043932
6b5l_clean,31.98216
6b5m_clean,30.754352
6b5n_clean,31.294257
6b5o_clean,32.266944
6b5p_clean,41.927129
6b5r_clean,39.755648
6b5s_clean,41.675016
6b5t_clean,40.102165
6bb4_clean,35.752347
6bfs_clean,25.792819
6bhz_clean,32.159135
6bi0_clean,33.009003
6bi2_clean,29.4108
6bit_clean,43.306725
6bkb_clean,35.985606
6bkc_clean,46.985904
6bla_clean,49.223865
6blh_clean,44.722433
6bli_clean,33.219061
6bzu_clean,37.952412
6bzv_clean,36.958594
6bzw_clean,33.527292
6bzy_clean,56.183912
6c5h_clean,58.840354
6c5i_clean,61.505988
6c5j_clean,50.099489
6c5k_clean,51.190832
6c6x_clean,30.199267
6c9u_clean,59.766283
6ca6_clean,51.851062
6ca7_clean,47.808794
6cbj_clean,50.14832
6cbv_clean,38.235358
6co3_clean,27.491403
6cr1_clean,41.436379
6crk_clean,57.886069
6cxg_clean,57.871582
6cyf_clean,32.465433
6d2p_clean,37.530636
6db6_clean,46.571587
6dc7_clean,58.075489
6df0_clean,34.808463
6df2_clean,30.917294
6dfi_clean,40.711979
6dfj_clean,44.158971
6dkj_clean,38.736972
6dwc_clean,35.67718
6dwi_clean,61.154392
6dzn_clean,58.24438
6dzr_clean,39.240153
6e3h_clean,56.545184
6e4y_clean,47.770211
6e4z_clean,44.358573
6e62_clean,45.890777
6e63_clean,37.125853
6e65_clean,43.421404
6ek2_clean,46.140501
6ele_clean,31.144536
6elj_clean,31.793798
6ell_clean,31.102449
6elu_clean,67.134179
6emj_clean,31.031187
6ewb_clean,41.451196
6eyn_clean,35.045854
6fab_clean,40.17204
6fax_clean,29.890451
6fbj_clean,42.776225
6fg1_clean,31.307164
6fg2_clean,37.037601
6fgb_clean,51.735844
6fla_clean,37.6087
6flb_clean,37.579997
6flc_clean,31.851479
6foe_clean,38.181348
6frj_clean,51.846578
6gfe_clean,30.145377
6gk7_clean,35.953344
6gk8_clean,33.03083
6gku_clean,34.077747
6glw_clean,42.722605
6h06_clean,32.015528
6h0e_clean,30.337765
6h3t_clean,48.257386
6hhc_clean,40.922828
6hig_clean,43.315553
6i8s_clean,35.801456
6i9i_clean,33.707998
6iap_clean,21.648908
6ias_clean,20.956108
6icc_clean,36.38161
6idg_clean,46.405707
6idh_clean,45.651048
6iea_clean,42.348873
6ieb_clean,49.011318
6iut_clean,34.358522
6iuv_clean,46.939471
6iw2_clean,83.673426
6j5d_clean,36.182652
6j5f_clean,37.054941
6jc2_clean,47.766829
6jep_clean,31.899929
6k65_clean,56.70918
6m87_clean,58.746734
6meg_clean,47.250562
6meh_clean,48.069158
6mei_clean,36.342832
6mej_clean,36.132458
6mfj_clean,34.263547
6mg7_clean,34.777349
6mnf_clean,53.997442
6mnq_clean,55.716216
6mnr_clean,52.058812
6mns_clean,58.572861
6mqr_clean,52.997383
6msy_clean,61.104448
6mto_clean,50.723402
6mu3_clean,59.249427
6mu6_clean,58.622389
6mu7_clean,58.252026
6mu8_clean,58.885276
6mub_clean,56.721432
6muf_clean,60.32994
6mug_clean,58.016429
6mxr_clean,41.609067
6mxs_clean,44.693118
6my4_clean,40.250937
6n16_clean,50.972395
6n6b_clean,35.053044
6n81_clean,27.863897
6nb8_clean,35.159321
6nm6_clean,56.194447
6nmr_clean,51.372116
